iter	Logloss
0	0.6495523491
1	0.6019880379
2	0.5652821812
3	0.5341299627
4	0.5043153885
5	0.477589896
6	0.4529745489
7	0.4289609309
8	0.4029672881
9	0.3853258052
10	0.3661240198
11	0.3481918871
12	0.3350283537
13	0.32301688
14	0.3118393971
15	0.3013530102
16	0.2916766117
17	0.2832590073
18	0.2753081298
19	0.2673550285
20	0.2608772506
21	0.253549802
22	0.247570564
23	0.2426741619
24	0.2365248617
25	0.2322204857
26	0.2281645674
27	0.224623176
28	0.2208740226
29	0.2173131475
30	0.2142060709
31	0.2119607739
32	0.2078896691
33	0.2059856829
34	0.2028394204
35	0.2008512547
36	0.1982283869
37	0.1961294641
38	0.1939004528
39	0.1922427203
40	0.1906003476
41	0.1885825367
42	0.1866864144
43	0.1856614617
44	0.1848882356
45	0.1831954126
46	0.1821702002
47	0.1814171801
48	0.1802254755
49	0.1793023677
50	0.1780255639
51	0.1775188754
52	0.1765008424
53	0.1754625396
54	0.174876256
55	0.1740564
56	0.1731713806
57	0.1727124868
58	0.1722466483
59	0.171693083
60	0.1711465395
61	0.1708384832
62	0.1704926432
63	0.1700432587
64	0.1694957645
65	0.1688661685
66	0.1683013501
67	0.1677383103
68	0.1673263759
69	0.1670541827
70	0.1667762699
71	0.1663250034
72	0.1657969737
73	0.1655729837
74	0.1650719757
75	0.1644898274
76	0.1641029078
77	0.1637024644
78	0.1632081992
79	0.1629968137
80	0.162572849
81	0.1624618553
82	0.1621308294
83	0.1619718546
84	0.161877346
85	0.1616853765
86	0.1613632458
87	0.1609682093
88	0.1604474439
89	0.1600925175
90	0.1597484907
91	0.1594689536
92	0.1594628462
93	0.1593092122
94	0.1591629989
95	0.1589430106
96	0.1585520191
97	0.1583346676
98	0.158088997
99	0.157939861
100	0.1579032668
101	0.1576487348
102	0.1575408375
103	0.1573324366
104	0.157100397
105	0.1568386277
106	0.1566811019
107	0.1565677275
108	0.1564505853
109	0.156305498
110	0.1560119141
111	0.1559107701
112	0.1558244773
113	0.1556063
114	0.155461687
115	0.1553726777
116	0.1552362435
117	0.1551233015
118	0.1550409535
119	0.1549820657
120	0.1548333302
121	0.1547109435
122	0.1546993713
123	0.1545497584
124	0.1543442109
125	0.1542750389
126	0.1541694757
127	0.1539713383
128	0.1538336892
129	0.1537271158
130	0.1536483471
131	0.1534722459
132	0.153371164
133	0.1531869712
134	0.1530147703
135	0.1529273276
136	0.1528019478
137	0.1526264862
138	0.1524492696
139	0.1523491153
140	0.1521877657
141	0.1520753392
